stem,question_num,answer_num,participant_num,image_path,question_he,question_en,full_prompt,vlm_raw_answer_en,used_fallback,fallback_prompt,vlm_answer_en,vlm_answer_he,subject_answer_he,similarity,similarity_percent,comparison_method,vlm_model,embed_model,he_en_model,en_he_model,device,timestamp
10_1_54,10,1,54,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert.
Concept to illustrate: ""Change is made""
Task: Examine this image carefully. In one sentence, describe specific visual elements you observe in the image and explain how they demonstrate the concept above.
Important: Do NOT restate or rephrase ""Change is made"". Name what you actually see and connect it to the concept.
Answer:",the image shows a group of people in different stages of life,False,,the image shows a group of people in different stages of life,התמונה מראה קבוצת אנשים בשלבים שונים של החיים,רואים את השינוי במראה לפי הגיל,0.2503361403942108,25.03,multilingual semantic embedding cosine similarity,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T09:59:38
10_1_58,10,1,58,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert.
Concept to illustrate: ""Change is made""
Task: Examine this image carefully. In one sentence, describe specific visual elements you observe in the image and explain how they demonstrate the concept above.
Important: Do NOT restate or rephrase ""Change is made"". Name what you actually see and connect it to the concept.
Answer:",the image shows a group of people in different stages of life,False,,the image shows a group of people in different stages of life,התמונה מראה קבוצת אנשים בשלבים שונים של החיים,התמונה מציגה את תהליך החיים של בן אדם מהילדות ועד הזקנה ומראה שהשינוי כבר התרחש בפועל ואי אפשר לחזור אחורה.,0.34812721610069275,34.81,multilingual semantic embedding cosine similarity,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T09:59:43
10_1_59,10,1,59,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert.
Concept to illustrate: ""Change is made""
Task: Examine this image carefully. In one sentence, describe specific visual elements you observe in the image and explain how they demonstrate the concept above.
Important: Do NOT restate or rephrase ""Change is made"". Name what you actually see and connect it to the concept.
Answer:",the image shows a group of people in different stages of life,False,,the image shows a group of people in different stages of life,התמונה מראה קבוצת אנשים בשלבים שונים של החיים,בחרתי בתמונה של האדם שמתבגר משום שבה בעיני הכי מורגש זה שאי אפשר להחזיר את הגלגל לאחור. ברגע שהאדם כבר מזדקן אי אפשר ״לבטל״ את השינוי שהוא עבר.,0.3711084723472595,37.11,multilingual semantic embedding cosine similarity,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T09:59:50
10_1_61,10,1,61,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert.
Concept to illustrate: ""Change is made""
Task: Examine this image carefully. In one sentence, describe specific visual elements you observe in the image and explain how they demonstrate the concept above.
Important: Do NOT restate or rephrase ""Change is made"". Name what you actually see and connect it to the concept.
Answer:",the image shows a group of people in different stages of life,False,,the image shows a group of people in different stages of life,התמונה מראה קבוצת אנשים בשלבים שונים של החיים,"זקנה הוא תהליך בלתי הפיך, לעמות צלחת שבורה שאפשר לדביק בחזרה או למחזר. פרח אפשר לשקם. ושיכרות הינה השפעה זמנית.",0.23194405436515808,23.19,multilingual semantic embedding cosine similarity,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T09:59:56
10_2_15,10,2,15,dataset/images/10_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert.
Concept to illustrate: ""Change is made""
Task: Examine this image carefully. In one sentence, describe specific visual elements you observe in the image and explain how they demonstrate the concept above.
Important: Do NOT restate or rephrase ""Change is made"". Name what you actually see and connect it to the concept.
Answer:",four different flowers in the field with a yellow flower,False,,four different flowers in the field with a yellow flower,ארבעה פרחים שונים בשדה עם פרח צהוב.,רואים שהפרח היה פורח ואלט לאט נבל כי לא השקו אותו,0.4947623014450073,49.48,multilingual semantic embedding cosine similarity,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T10:00:02
10_2_17,10,2,17,dataset/images/10_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert.
Concept to illustrate: ""Change is made""
Task: Examine this image carefully. In one sentence, describe specific visual elements you observe in the image and explain how they demonstrate the concept above.
Important: Do NOT restate or rephrase ""Change is made"". Name what you actually see and connect it to the concept.
Answer:",four different flowers in the field with a yellow flower,False,,four different flowers in the field with a yellow flower,ארבעה פרחים שונים בשדה עם פרח צהוב.,שהפרח פורח,0.7397485971450806,73.97,multilingual semantic embedding cosine similarity,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T10:00:08
10_2_19,10,2,19,dataset/images/10_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert.
Concept to illustrate: ""Change is made""
Task: Examine this image carefully. In one sentence, describe specific visual elements you observe in the image and explain how they demonstrate the concept above.
Important: Do NOT restate or rephrase ""Change is made"". Name what you actually see and connect it to the concept.
Answer:",four different flowers in the field with a yellow flower,False,,four different flowers in the field with a yellow flower,ארבעה פרחים שונים בשדה עם פרח צהוב.,השינוי נעשה זה שניתן לראות התחלה וסוף ובין לבין רואים את התהליך ואת הקיצוניות.,0.09355499595403671,9.36,multilingual semantic embedding cosine similarity,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T10:00:14
10_2_20,10,2,20,dataset/images/10_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert.
Concept to illustrate: ""Change is made""
Task: Examine this image carefully. In one sentence, describe specific visual elements you observe in the image and explain how they demonstrate the concept above.
Important: Do NOT restate or rephrase ""Change is made"". Name what you actually see and connect it to the concept.
Answer:",four different flowers in the field with a yellow flower,False,,four different flowers in the field with a yellow flower,ארבעה פרחים שונים בשדה עם פרח צהוב.,רואים בבירור איך השינוי נעשה מתמונה לתמונה,0.0580422580242157,5.8,multilingual semantic embedding cosine similarity,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T10:00:20
10_2_23,10,2,23,dataset/images/10_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert.
Concept to illustrate: ""Change is made""
Task: Examine this image carefully. In one sentence, describe specific visual elements you observe in the image and explain how they demonstrate the concept above.
Important: Do NOT restate or rephrase ""Change is made"". Name what you actually see and connect it to the concept.
Answer:",four different flowers in the field with a yellow flower,False,,four different flowers in the field with a yellow flower,ארבעה פרחים שונים בשדה עם פרח צהוב.,פרח שמתחיל כעצוב ונובל פורח וזה תהליך של בני אדם,0.6181455850601196,61.81,multilingual semantic embedding cosine similarity,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T10:00:25
10_2_25,10,2,25,dataset/images/10_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert.
Concept to illustrate: ""Change is made""
Task: Examine this image carefully. In one sentence, describe specific visual elements you observe in the image and explain how they demonstrate the concept above.
Important: Do NOT restate or rephrase ""Change is made"". Name what you actually see and connect it to the concept.
Answer:",four different flowers in the field with a yellow flower,False,,four different flowers in the field with a yellow flower,ארבעה פרחים שונים בשדה עם פרח צהוב.,אני רואה שינוי,0.08712393790483475,8.71,multilingual semantic embedding cosine similarity,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T10:00:31
10_2_27,10,2,27,dataset/images/10_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert.
Concept to illustrate: ""Change is made""
Task: Examine this image carefully. In one sentence, describe specific visual elements you observe in the image and explain how they demonstrate the concept above.
Important: Do NOT restate or rephrase ""Change is made"". Name what you actually see and connect it to the concept.
Answer:",four different flowers in the field with a yellow flower,False,,four different flowers in the field with a yellow flower,ארבעה פרחים שונים בשדה עם פרח צהוב.,יש פרח נובל ואי אפשר לשנות מפרח נובל לצומח,0.5447800159454346,54.48,multilingual semantic embedding cosine similarity,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T10:00:37
10_2_35,10,2,35,dataset/images/10_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert.
Concept to illustrate: ""Change is made""
Task: Examine this image carefully. In one sentence, describe specific visual elements you observe in the image and explain how they demonstrate the concept above.
Important: Do NOT restate or rephrase ""Change is made"". Name what you actually see and connect it to the concept.
Answer:",four different flowers in the field with a yellow flower,False,,four different flowers in the field with a yellow flower,ארבעה פרחים שונים בשדה עם פרח צהוב.,ממחיש את השינוי דרך פרח שצומח ואז נובל,0.5938789248466492,59.39,multilingual semantic embedding cosine similarity,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T10:00:43
10_2_41,10,2,41,dataset/images/10_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert.
Concept to illustrate: ""Change is made""
Task: Examine this image carefully. In one sentence, describe specific visual elements you observe in the image and explain how they demonstrate the concept above.
Important: Do NOT restate or rephrase ""Change is made"". Name what you actually see and connect it to the concept.
Answer:",four different flowers in the field with a yellow flower,False,,four different flowers in the field with a yellow flower,ארבעה פרחים שונים בשדה עם פרח צהוב.,"הצמח כמל, הגיע לסוף תהליך ייעודו ותפקידו",0.4790422320365906,47.9,multilingual semantic embedding cosine similarity,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T10:00:48
10_2_42,10,2,42,dataset/images/10_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert.
Concept to illustrate: ""Change is made""
Task: Examine this image carefully. In one sentence, describe specific visual elements you observe in the image and explain how they demonstrate the concept above.
Important: Do NOT restate or rephrase ""Change is made"". Name what you actually see and connect it to the concept.
Answer:",four different flowers in the field with a yellow flower,False,,four different flowers in the field with a yellow flower,ארבעה פרחים שונים בשדה עם פרח צהוב.,רואים את השינוי,0.04427669197320938,4.43,multilingual semantic embedding cosine similarity,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T10:00:54
10_2_46,10,2,46,dataset/images/10_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert.
Concept to illustrate: ""Change is made""
Task: Examine this image carefully. In one sentence, describe specific visual elements you observe in the image and explain how they demonstrate the concept above.
Important: Do NOT restate or rephrase ""Change is made"". Name what you actually see and connect it to the concept.
Answer:",four different flowers in the field with a yellow flower,False,,four different flowers in the field with a yellow flower,ארבעה פרחים שונים בשדה עם פרח צהוב.,"בתמונה רואים שני שינויים, שינוי ראשון של הפרח עצמו שפרח וצמח אבל הסביבה נשארה זהה, ובתמונה השנייה הפרח נשאר נבול אבל הסביבה השתנתה. בשניהם השינוי נעשה.",0.5002903342247009,50.03,multilingual semantic embedding cosine similarity,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T10:01:00
1_1_13,1,1,13,dataset/images/1_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" העבודה הושלמה בהצלחה""","Explain why you chose this image as reflecting the sentence ""Work completed successfully""","You are a systems thinking expert.
Concept to illustrate: ""Work completed successfully""
Task: Examine this image carefully. In one sentence, describe specific visual elements you observe in the image and explain how they demonstrate the concept above.
Important: Do NOT restate or rephrase ""Work completed successfully"". Name what you actually see and connect it to the concept.
Answer:",two men are preparing to load a bomb into a fighter jet,False,,two men are preparing to load a bomb into a fighter jet,שני גברים מתכוננים לטעון פצצה למטוס קרב.,כי הם עבדים בצוות,0.3527255058288574,35.27,multilingual semantic embedding cosine similarity,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T10:01:06
1_1_21,1,1,21,dataset/images/1_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" העבודה הושלמה בהצלחה""","Explain why you chose this image as reflecting the sentence ""Work completed successfully""","You are a systems thinking expert.
Concept to illustrate: ""Work completed successfully""
Task: Examine this image carefully. In one sentence, describe specific visual elements you observe in the image and explain how they demonstrate the concept above.
Important: Do NOT restate or rephrase ""Work completed successfully"". Name what you actually see and connect it to the concept.
Answer:",two men are preparing to load a bomb into a fighter jet,False,,two men are preparing to load a bomb into a fighter jet,שני גברים מתכוננים לטעון פצצה למטוס קרב.,יש פה עובדה צוות וזה נראה שהם עוד שניה מסיים,0.3597670793533325,35.98,multilingual semantic embedding cosine similarity,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T10:01:12
1_2_20,1,2,20,dataset/images/1_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" העבודה הושלמה בהצלחה""","Explain why you chose this image as reflecting the sentence ""Work completed successfully""","You are a systems thinking expert.
Concept to illustrate: ""Work completed successfully""
Task: Examine this image carefully. In one sentence, describe specific visual elements you observe in the image and explain how they demonstrate the concept above.
Important: Do NOT restate or rephrase ""Work completed successfully"". Name what you actually see and connect it to the concept.
Answer:",a bulldozer and dump truck,False,,a bulldozer and dump truck,בולדוזר ומשאית זבל.,העבודה זה לשים משהו בתוך המשאית והיא הושלמה בהצלחה,0.5907586812973022,59.08,multilingual semantic embedding cosine similarity,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T10:01:19
1_2_32,1,2,32,dataset/images/1_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" העבודה הושלמה בהצלחה""","Explain why you chose this image as reflecting the sentence ""Work completed successfully""","You are a systems thinking expert.
Concept to illustrate: ""Work completed successfully""
Task: Examine this image carefully. In one sentence, describe specific visual elements you observe in the image and explain how they demonstrate the concept above.
Important: Do NOT restate or rephrase ""Work completed successfully"". Name what you actually see and connect it to the concept.
Answer:",a bulldozer and dump truck,False,,a bulldozer and dump truck,בולדוזר ומשאית זבל.,כי סיימו את הפעולה של לשפוך מה שהיה בטרקטור למשאית,0.7198758125305176,71.99,multilingual semantic embedding cosine similarity,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T10:01:24
1_2_36,1,2,36,dataset/images/1_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" העבודה הושלמה בהצלחה""","Explain why you chose this image as reflecting the sentence ""Work completed successfully""","You are a systems thinking expert.
Concept to illustrate: ""Work completed successfully""
Task: Examine this image carefully. In one sentence, describe specific visual elements you observe in the image and explain how they demonstrate the concept above.
Important: Do NOT restate or rephrase ""Work completed successfully"". Name what you actually see and connect it to the concept.
Answer:",a bulldozer and dump truck,False,,a bulldozer and dump truck,בולדוזר ומשאית זבל.,בתמונה אני רואה שיש יהודים וזה אומר שהולכים לבנות משהו מסוים בית / בניין / פארק ועצם העובדה שהולכים לבנות משהוו חדש זה מעיר השראה ותקווה,0.33569392561912537,33.57,multilingual semantic embedding cosine similarity,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T10:01:30
