stem,question_num,answer_num,participant_num,image_path,question_he,question_en,full_prompt,vlm_raw_answer_en,used_fallback,fallback_prompt,vlm_answer_en,vlm_answer_he,subject_answer_he,similarity,similarity_percent,comparison_method,subject_answer_en,similarity_labse_he,similarity_labse_he_percent,similarity_en,similarity_en_percent,bertscore_precision,bertscore_recall,bertscore_f1,vlm_model,embed_model,he_en_model,en_he_model,device,timestamp
10_1_54,10,1,54,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert analyzing an image.
Concept: ""Change is made""
Complete this sentence by filling in what you observe and why it connects to the concept:
""This image shows [what you see], which illustrates \""Change is made\"" because [explain the visual link].""
Answer: This image shows",This image shows the faces of different people in a row,False,,This image shows the faces of different people in a row,תמונה זו מציגה את פניהם של אנשים שונים ברצף,רואים את השינוי במראה לפי הגיל,0.3573971390724182,35.74,multilingual semantic embedding cosine similarity,You can see the change in appearance by age.,0.3111896812915802,31.12,0.37644875049591064,37.64,0.8967,0.9079,0.9022,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T10:29:12
10_1_58,10,1,58,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert analyzing an image.
Concept: ""Change is made""
Complete this sentence by filling in what you observe and why it connects to the concept:
""This image shows [what you see], which illustrates \""Change is made\"" because [explain the visual link].""
Answer: This image shows",This image shows the faces of different people in a row,False,,This image shows the faces of different people in a row,תמונה זו מציגה את פניהם של אנשים שונים ברצף,התמונה מציגה את תהליך החיים של בן אדם מהילדות ועד הזקנה ומראה שהשינוי כבר התרחש בפועל ואי אפשר לחזור אחורה.,0.4588959217071533,45.89,multilingual semantic embedding cosine similarity,The picture shows a person's life process from childhood to old age and shows that change has already taken place and it is impossible to go back.,0.3829782009124756,38.3,0.3641164004802704,36.41,0.9055,0.8588,0.8815,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T10:29:16
10_1_59,10,1,59,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert analyzing an image.
Concept: ""Change is made""
Complete this sentence by filling in what you observe and why it connects to the concept:
""This image shows [what you see], which illustrates \""Change is made\"" because [explain the visual link].""
Answer: This image shows",This image shows the faces of different people in a row,False,,This image shows the faces of different people in a row,תמונה זו מציגה את פניהם של אנשים שונים ברצף,בחרתי בתמונה של האדם שמתבגר משום שבה בעיני הכי מורגש זה שאי אפשר להחזיר את הגלגל לאחור. ברגע שהאדם כבר מזדקן אי אפשר ״לבטל״ את השינוי שהוא עבר.,0.4999470114707947,49.99,multilingual semantic embedding cosine similarity,"I chose the image of the person who is growing up because in my eyes it is most noticeable that it is impossible to turn back the wheel. Once the person is already getting older it is impossible to ""cancel"" the change he has gone through.",0.15928372740745544,15.93,0.3721681833267212,37.22,0.8759,0.8336,0.8542,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T10:29:21
10_1_61,10,1,61,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert analyzing an image.
Concept: ""Change is made""
Complete this sentence by filling in what you observe and why it connects to the concept:
""This image shows [what you see], which illustrates \""Change is made\"" because [explain the visual link].""
Answer: This image shows",This image shows the faces of different people in a row,False,,This image shows the faces of different people in a row,תמונה זו מציגה את פניהם של אנשים שונים ברצף,"זקנה הוא תהליך בלתי הפיך, לעמות צלחת שבורה שאפשר לדביק בחזרה או למחזר. פרח אפשר לשקם. ושיכרות הינה השפעה זמנית.",0.30378174781799316,30.38,multilingual semantic embedding cosine similarity,"Old age is an irreversible process, for a broken plate can be glued back or recycled. A flower can be rehabilitated. And drunkenness is a temporary effect.",-0.005197381600737572,0.0,0.1551809310913086,15.52,0.8614,0.8394,0.8502,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T10:29:26
10_2_15,10,2,15,dataset/images/10_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert analyzing an image.
Concept: ""Change is made""
Complete this sentence by filling in what you observe and why it connects to the concept:
""This image shows [what you see], which illustrates \""Change is made\"" because [explain the visual link].""
Answer: This image shows","This image shows four different flowers in the field, which illustrates change is made",False,,"This image shows four different flowers in the field, which illustrates change is made","תמונה זו מראה ארבעה פרחים שונים בתחום, אשר ממחישים שינוי נעשה",רואים שהפרח היה פורח ואלט לאט נבל כי לא השקו אותו,0.5573023557662964,55.73,multilingual semantic embedding cosine similarity,You can see that the flower was blooming and slowly a harp because it wasn't watered.,0.27183306217193604,27.18,0.5123797655105591,51.24,0.8703,0.8517,0.8609,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T10:29:31
10_2_17,10,2,17,dataset/images/10_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert analyzing an image.
Concept: ""Change is made""
Complete this sentence by filling in what you observe and why it connects to the concept:
""This image shows [what you see], which illustrates \""Change is made\"" because [explain the visual link].""
Answer: This image shows","This image shows four different flowers in the field, which illustrates change is made",False,,"This image shows four different flowers in the field, which illustrates change is made","תמונה זו מראה ארבעה פרחים שונים בתחום, אשר ממחישים שינוי נעשה",שהפרח פורח,0.7351583242416382,73.52,multilingual semantic embedding cosine similarity,That the flower blooms,0.39502012729644775,39.5,0.6759899854660034,67.6,0.8569,0.8814,0.869,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T10:29:35
10_2_19,10,2,19,dataset/images/10_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert analyzing an image.
Concept: ""Change is made""
Complete this sentence by filling in what you observe and why it connects to the concept:
""This image shows [what you see], which illustrates \""Change is made\"" because [explain the visual link].""
Answer: This image shows","This image shows four different flowers in the field, which illustrates change is made",False,,"This image shows four different flowers in the field, which illustrates change is made","תמונה זו מראה ארבעה פרחים שונים בתחום, אשר ממחישים שינוי נעשה",השינוי נעשה זה שניתן לראות התחלה וסוף ובין לבין רואים את התהליך ואת הקיצוניות.,0.445471853017807,44.55,multilingual semantic embedding cosine similarity,Change is made that one can see beginning and end and in between one sees the process and the extreme.,0.2869355380535126,28.69,0.33916592597961426,33.92,0.8765,0.8574,0.8668,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T10:29:40
10_2_20,10,2,20,dataset/images/10_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert analyzing an image.
Concept: ""Change is made""
Complete this sentence by filling in what you observe and why it connects to the concept:
""This image shows [what you see], which illustrates \""Change is made\"" because [explain the visual link].""
Answer: This image shows","This image shows four different flowers in the field, which illustrates change is made",False,,"This image shows four different flowers in the field, which illustrates change is made","תמונה זו מראה ארבעה פרחים שונים בתחום, אשר ממחישים שינוי נעשה",רואים בבירור איך השינוי נעשה מתמונה לתמונה,0.48200926184654236,48.2,multilingual semantic embedding cosine similarity,You can clearly see how the change is made from picture to picture.,0.4741744101047516,47.42,0.3061825931072235,30.62,0.8816,0.8721,0.8768,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T10:29:44
10_2_23,10,2,23,dataset/images/10_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert analyzing an image.
Concept: ""Change is made""
Complete this sentence by filling in what you observe and why it connects to the concept:
""This image shows [what you see], which illustrates \""Change is made\"" because [explain the visual link].""
Answer: This image shows","This image shows four different flowers in the field, which illustrates change is made",False,,"This image shows four different flowers in the field, which illustrates change is made","תמונה זו מראה ארבעה פרחים שונים בתחום, אשר ממחישים שינוי נעשה",פרח שמתחיל כעצוב ונובל פורח וזה תהליך של בני אדם,0.6896952390670776,68.97,multilingual semantic embedding cosine similarity,A flower that begins as a sad and a flowering novel and it's a human process,0.3019430637359619,30.19,0.5905413031578064,59.05,0.8568,0.8488,0.8528,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T10:29:49
10_2_25,10,2,25,dataset/images/10_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert analyzing an image.
Concept: ""Change is made""
Complete this sentence by filling in what you observe and why it connects to the concept:
""This image shows [what you see], which illustrates \""Change is made\"" because [explain the visual link].""
Answer: This image shows","This image shows four different flowers in the field, which illustrates change is made",False,,"This image shows four different flowers in the field, which illustrates change is made","תמונה זו מראה ארבעה פרחים שונים בתחום, אשר ממחישים שינוי נעשה",אני רואה שינוי,0.50467449426651,50.47,multilingual semantic embedding cosine similarity,I see a change.,0.43527692556381226,43.53,0.3108871579170227,31.09,0.8619,0.9254,0.8926,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T10:29:53
10_2_27,10,2,27,dataset/images/10_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert analyzing an image.
Concept: ""Change is made""
Complete this sentence by filling in what you observe and why it connects to the concept:
""This image shows [what you see], which illustrates \""Change is made\"" because [explain the visual link].""
Answer: This image shows","This image shows four different flowers in the field, which illustrates change is made",False,,"This image shows four different flowers in the field, which illustrates change is made","תמונה זו מראה ארבעה פרחים שונים בתחום, אשר ממחישים שינוי נעשה",יש פרח נובל ואי אפשר לשנות מפרח נובל לצומח,0.5611562728881836,56.12,multilingual semantic embedding cosine similarity,There is a Nobel flower and you can't change from a Nobel flower to a vegetable.,0.3748724162578583,37.49,0.4016711413860321,40.17,0.8664,0.8587,0.8625,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T10:29:57
10_2_35,10,2,35,dataset/images/10_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert analyzing an image.
Concept: ""Change is made""
Complete this sentence by filling in what you observe and why it connects to the concept:
""This image shows [what you see], which illustrates \""Change is made\"" because [explain the visual link].""
Answer: This image shows","This image shows four different flowers in the field, which illustrates change is made",False,,"This image shows four different flowers in the field, which illustrates change is made","תמונה זו מראה ארבעה פרחים שונים בתחום, אשר ממחישים שינוי נעשה",ממחיש את השינוי דרך פרח שצומח ואז נובל,0.8287621736526489,82.88,multilingual semantic embedding cosine similarity,Illustrates the change through a flower that grows and then Nobel,0.6026900410652161,60.27,0.7156827449798584,71.57,0.8889,0.8744,0.8816,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T10:30:02
10_2_41,10,2,41,dataset/images/10_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert analyzing an image.
Concept: ""Change is made""
Complete this sentence by filling in what you observe and why it connects to the concept:
""This image shows [what you see], which illustrates \""Change is made\"" because [explain the visual link].""
Answer: This image shows","This image shows four different flowers in the field, which illustrates change is made",False,,"This image shows four different flowers in the field, which illustrates change is made","תמונה זו מראה ארבעה פרחים שונים בתחום, אשר ממחישים שינוי נעשה","הצמח כמל, הגיע לסוף תהליך ייעודו ותפקידו",0.666238009929657,66.62,multilingual semantic embedding cosine similarity,"The plant as a mel, has reached the end of its vocation process and function",0.1181890219449997,11.82,0.4703221321105957,47.03,0.8582,0.833,0.8454,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T10:30:06
10_2_42,10,2,42,dataset/images/10_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert analyzing an image.
Concept: ""Change is made""
Complete this sentence by filling in what you observe and why it connects to the concept:
""This image shows [what you see], which illustrates \""Change is made\"" because [explain the visual link].""
Answer: This image shows","This image shows four different flowers in the field, which illustrates change is made",False,,"This image shows four different flowers in the field, which illustrates change is made","תמונה זו מראה ארבעה פרחים שונים בתחום, אשר ממחישים שינוי נעשה",רואים את השינוי,0.4324687123298645,43.25,multilingual semantic embedding cosine similarity,You see the change.,0.34903669357299805,34.9,0.3339462876319885,33.39,0.8594,0.9224,0.8898,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T10:30:11
10_2_46,10,2,46,dataset/images/10_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert analyzing an image.
Concept: ""Change is made""
Complete this sentence by filling in what you observe and why it connects to the concept:
""This image shows [what you see], which illustrates \""Change is made\"" because [explain the visual link].""
Answer: This image shows","This image shows four different flowers in the field, which illustrates change is made",False,,"This image shows four different flowers in the field, which illustrates change is made","תמונה זו מראה ארבעה פרחים שונים בתחום, אשר ממחישים שינוי נעשה","בתמונה רואים שני שינויים, שינוי ראשון של הפרח עצמו שפרח וצמח אבל הסביבה נשארה זהה, ובתמונה השנייה הפרח נשאר נבול אבל הסביבה השתנתה. בשניהם השינוי נעשה.",0.7172903418540955,71.73,multilingual semantic embedding cosine similarity,"In the picture you see two changes, a first change of the flower itself that flower and plant but the environment remains the same, and in the second picture the flower remains wilted but the environment has changed. In both the change is made.",0.4657415747642517,46.57,0.6734761595726013,67.35,0.8941,0.8523,0.8727,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T10:30:15
1_1_13,1,1,13,dataset/images/1_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" העבודה הושלמה בהצלחה""","Explain why you chose this image as reflecting the sentence ""Work completed successfully""","You are a systems thinking expert analyzing an image.
Concept: ""Work completed successfully""
Complete this sentence by filling in what you observe and why it connects to the concept:
""This image shows [what you see], which illustrates \""Work completed successfully\"" because [explain the visual link].""
Answer: This image shows",This image shows two military men preparing to load a missile onto a fighter jet,False,,This image shows two military men preparing to load a missile onto a fighter jet,תמונה זו מראה שני אנשי צבא מתכוננים לטעון טיל על מטוס קרב,כי הם עבדים בצוות,0.3209993839263916,32.1,multilingual semantic embedding cosine similarity,They are slaves in the crew.,0.2555140256881714,25.55,0.18495087325572968,18.5,0.8474,0.8883,0.8673,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T10:30:21
