stem,question_num,answer_num,participant_num,image_key,gold_he,gold_en,vlm_answer_he,vlm_answer_en,vlm_vs_gold_mpnet_he,vlm_vs_gold_labse_he,vlm_vs_gold_mpnet_en,vlm_vs_gold_bs_f1,subject_answer_he,subject_answer_en,subj_vs_gold_mpnet_he,subj_vs_gold_labse_he,subj_vs_gold_mpnet_en,subj_vs_gold_bs_f1,vlm_vs_subj_mpnet_he
1_2_49,1,2,49,1_2,שיתוף פעולה בין מספר כלי עבודה מביא להשלמת העבודה בהצלחה,Cooperation between several tools results in the completion of the work successfully,התמונה הזו מראה בולדוזר ומשאית זבל.,This image shows a bulldozer and dump truck,0.1607,0.1876,0.2019,0.866,"נראה שהטרקטור סיים לפנות למשאית, כי אין כלום בסביבה לפינוי.","The tractor seems to have finished turning to the truck, because there's nothing around for the evacuation.",0.0728,0.1803,0.1492,0.8583,0.7605
1_2_53,1,2,53,1_2,שיתוף פעולה בין מספר כלי עבודה מביא להשלמת העבודה בהצלחה,Cooperation between several tools results in the completion of the work successfully,התמונה הזו מראה בולדוזר ומשאית זבל.,This image shows a bulldozer and dump truck,0.1607,0.1876,0.2019,0.866,"מבין כל התמונות, בתמונה מספר2 אין דעה לגבי התוצאה. אם התוצאה היא הצלחה, רק תמונה מספר 2 וודאית. בכל תמונה אחרת ייתכן והמשימה הושלמה אך לא בהצלחה או שלא הושלמה כלל.","Of all the images, picture number 2 has no opinion on the outcome. If the result is success, only picture number 2 is certain. In any other image the task may have been completed but not successfully or not completed at all.",0.3145,0.3586,0.3514,0.8502,0.2329
2_1_36,2,1,36,2_1,עבודת צוות ושיתוף פעולה יעזרו לקבל החלטה,Teamwork and collaboration will help make a decision,התמונה הזו מראה קבוצה של אנשים שיושבים סביב שולחן,This image shows a group of people sitting around a table,0.3804,0.458,0.3479,0.8824,בחרתי בתמונה הזאת כיוון שהיא מעידה על חשיבות השיח והדיון במיוחד בעבודה,I chose this picture because it indicates the importance of discourse and discussion especially at work.,0.5521,0.43,0.489,0.8919,0.5247
2_2_11,2,2,11,2_2,הצוות שיתף פעולה בתהליך ההחלטה,The team cooperated in the decision process.,תמונה זו מראה קבוצת אנשים מוחאים כפיים,This image shows a group of people clapping,0.2809,0.311,0.229,0.8909,"כולם ביחד שמחים, לוחצים ידיים ומסכימים.","Everyone together is happy, shaking hands and agreeing.",0.3214,0.366,0.3525,0.8898,0.6082
2_2_13,2,2,13,2_2,הצוות שיתף פעולה בתהליך ההחלטה,The team cooperated in the decision process.,תמונה זו מראה קבוצת אנשים מוחאים כפיים,This image shows a group of people clapping,0.2809,0.311,0.229,0.8909,כי הם קבוצה של אנשים שדנים ביחד ומגיעים ביחד להחלטה,Because they're a group of people who discuss together and come together to decide,0.7209,0.4671,0.4881,0.8858,0.6245
2_2_14,2,2,14,2_2,הצוות שיתף פעולה בתהליך ההחלטה,The team cooperated in the decision process.,תמונה זו מראה קבוצת אנשים מוחאים כפיים,This image shows a group of people clapping,0.2809,0.311,0.229,0.8909,רואים קבוצה מרוצה ומגובשת,We see a happy and united team.,0.492,0.3477,0.4652,0.9187,0.6875
2_2_15,2,2,15,2_2,הצוות שיתף פעולה בתהליך ההחלטה,The team cooperated in the decision process.,תמונה זו מראה קבוצת אנשים מוחאים כפיים,This image shows a group of people clapping,0.2809,0.311,0.229,0.8909,כי כולם נראים מחייכים ומרוצים,Everyone looks happy and smiling.,0.2815,0.2642,0.2299,0.9002,0.4706
2_2_17,2,2,17,2_2,הצוות שיתף פעולה בתהליך ההחלטה,The team cooperated in the decision process.,תמונה זו מראה קבוצת אנשים מוחאים כפיים,This image shows a group of people clapping,0.2809,0.311,0.229,0.8909,שיש שותפות ביחד כצוות וההחלטה התקבלה כפה אחד וכולם נראים שמחים על כך.,That there was a partnership together as a team and the decision was made as one and everyone seems happy about it.,0.7496,0.4398,0.6666,0.8993,0.4463
2_2_18,2,2,18,2_2,הצוות שיתף פעולה בתהליך ההחלטה,The team cooperated in the decision process.,תמונה זו מראה קבוצת אנשים מוחאים כפיים,This image shows a group of people clapping,0.2809,0.311,0.229,0.8909,בחרתי במספר 2 כי נראה שחברי הצוות מאגדים ידיים על מנת להכריז כי התבצעה החלטה וכולם מאשרים אותה,I chose number 2 because the crew members seem to be gathering their hands to announce that a decision has been made and everyone approves of it.,0.6043,0.4213,0.4689,0.8791,0.3086
2_2_19,2,2,19,2_2,הצוות שיתף פעולה בתהליך ההחלטה,The team cooperated in the decision process.,תמונה זו מראה קבוצת אנשים מוחאים כפיים,This image shows a group of people clapping,0.2809,0.311,0.229,0.8909,"בעיני החלטה טובה מתקבלת בשיתוף פעולה ובצוות שכולם יוצאים מרוצים וגם אם לא בהכרח נוגע בדעה של כולם, עדיין יוצאים שמחים מהדיון ומהדרך שהכל קרה.","In my view, a good decision is made with the cooperation and team that everyone comes out happy and even if not necessarily touching everyone's opinion, still happy comes out of the discussion and the way it all happened.",0.7647,0.4856,0.6552,0.8726,0.41
2_2_20,2,2,20,2_2,הצוות שיתף פעולה בתהליך ההחלטה,The team cooperated in the decision process.,תמונה זו מראה קבוצת אנשים מוחאים כפיים,This image shows a group of people clapping,0.2809,0.311,0.229,0.8909,רואים שהקבוצה הגיעה להחלטה,The team has come to a decision.,0.6946,0.6105,0.615,0.9359,0.5339
2_2_21,2,2,21,2_2,הצוות שיתף פעולה בתהליך ההחלטה,The team cooperated in the decision process.,תמונה זו מראה קבוצת אנשים מוחאים כפיים,This image shows a group of people clapping,0.2809,0.311,0.229,0.8909,נראה שהם בידוק מסכמים את הדברים,Looks like they're finalizing things.,0.4315,0.2167,0.3623,0.8952,0.4489
2_2_22,2,2,22,2_2,הצוות שיתף פעולה בתהליך ההחלטה,The team cooperated in the decision process.,תמונה זו מראה קבוצת אנשים מוחאים כפיים,This image shows a group of people clapping,0.2809,0.311,0.229,0.8909,"בחרתי באופציה זו כי מרגיש לי שהאיחוד ידיים שכל חברי הקבוצה מושיטים מעידים על עידוד ""יציאה לדרך"" החלטה שהתקבלה","I chose this option because it feels to me that the unity of hands that all the members of the group extend attests to the encouragement of a ""go-away"" decision that was made",0.6555,0.4156,0.5524,0.8742,0.2976
2_2_23,2,2,23,2_2,הצוות שיתף פעולה בתהליך ההחלטה,The team cooperated in the decision process.,תמונה זו מראה קבוצת אנשים מוחאים כפיים,This image shows a group of people clapping,0.2809,0.311,0.229,0.8909,בגלל שכולם לוחצים ידיים מה שנותן קונוטציה של הסכמה של כול חברי הקבוצה,Because everyone shakes hands which gives a connotation of agreement of all members of the group,0.5911,0.3152,0.4233,0.885,0.4253
2_2_24,2,2,24,2_2,הצוות שיתף פעולה בתהליך ההחלטה,The team cooperated in the decision process.,תמונה זו מראה קבוצת אנשים מוחאים כפיים,This image shows a group of people clapping,0.2809,0.311,0.229,0.8909,נראה שכולם מחויכים ולחצו ידיים להסכמה,Everyone seems to be smiling and shaking hands to agree.,0.4974,0.3786,0.384,0.889,0.4569
2_2_25,2,2,25,2_2,הצוות שיתף פעולה בתהליך ההחלטה,The team cooperated in the decision process.,תמונה זו מראה קבוצת אנשים מוחאים כפיים,This image shows a group of people clapping,0.2809,0.311,0.229,0.8909,הם נראים שמחים ולכן זה נראה שהם הגיעו להסכמה,They seem happy and so it seems they have reached an agreement,0.3479,0.3289,0.3848,0.8838,0.477
2_2_27,2,2,27,2_2,הצוות שיתף פעולה בתהליך ההחלטה,The team cooperated in the decision process.,תמונה זו מראה קבוצת אנשים מוחאים כפיים,This image shows a group of people clapping,0.2809,0.311,0.229,0.8909,כי בתמונה שבחרתי כולם לוחצים ידיים כך שהם הסכימו,"Because in the picture I've chosen, everyone shakes hands so they've agreed.",0.4403,0.3988,0.448,0.8841,0.5583
2_2_29,2,2,29,2_2,הצוות שיתף פעולה בתהליך ההחלטה,The team cooperated in the decision process.,תמונה זו מראה קבוצת אנשים מוחאים כפיים,This image shows a group of people clapping,0.2809,0.311,0.229,0.8909,זה מראה את התמונת שלנו בבית חולים שאנחנו עוסים חשיבה קבוצתי ומגעים להסכמה ביחד,It shows our picture in a hospital that we massage group thinking and touch consensus together.,0.6099,0.2436,0.401,0.8705,0.488
2_2_32,2,2,32,2_2,הצוות שיתף פעולה בתהליך ההחלטה,The team cooperated in the decision process.,תמונה זו מראה קבוצת אנשים מוחאים כפיים,This image shows a group of people clapping,0.2809,0.311,0.229,0.8909,נראה כי כולם נמצאים בהסכמה על משהו מסוים,Everyone seems to be in agreement on something specific.,0.5134,0.4009,0.4361,0.9043,0.417
2_2_35,2,2,35,2_2,הצוות שיתף פעולה בתהליך ההחלטה,The team cooperated in the decision process.,תמונה זו מראה קבוצת אנשים מוחאים כפיים,This image shows a group of people clapping,0.2809,0.311,0.229,0.8909,יש עבודת צוות והחלטה פה אחד,There is team work and unanimous decision,0.87,0.5382,0.7371,0.9124,0.443
2_2_37,2,2,37,2_2,הצוות שיתף פעולה בתהליך ההחלטה,The team cooperated in the decision process.,תמונה זו מראה קבוצת אנשים מוחאים כפיים,This image shows a group of people clapping,0.2809,0.311,0.229,0.8909,נראה שכולם מסכימים יחד.,Everyone seems to agree together.,0.4959,0.3797,0.4767,0.9132,0.3752
2_2_41,2,2,41,2_2,הצוות שיתף פעולה בתהליך ההחלטה,The team cooperated in the decision process.,תמונה זו מראה קבוצת אנשים מוחאים כפיים,This image shows a group of people clapping,0.2809,0.311,0.229,0.8909,נראה שכולם מסכימים משום שהם לוחצים ידיים,Everyone seems to agree because they shake hands.,0.4038,0.3615,0.3688,0.8869,0.4079
2_2_42,2,2,42,2_2,הצוות שיתף פעולה בתהליך ההחלטה,The team cooperated in the decision process.,תמונה זו מראה קבוצת אנשים מוחאים כפיים,This image shows a group of people clapping,0.2809,0.311,0.229,0.8909,כי הם שמחים ונראים מסופקים והחלטיים,For they are happy and seem content and decisive,0.3057,0.2546,0.2394,0.8487,0.536
2_2_44,2,2,44,2_2,הצוות שיתף פעולה בתהליך ההחלטה,The team cooperated in the decision process.,תמונה זו מראה קבוצת אנשים מוחאים כפיים,This image shows a group of people clapping,0.2809,0.311,0.229,0.8909,אני חושבת שזה מייצג את קבלת ההחלטה על ידי כמה אנשים ולא שאחד מחליט עבור כולם.,I think it represents the decision making by some people rather than one making for everyone.,0.5234,0.2747,0.3482,0.8887,0.2908
2_2_46,2,2,46,2_2,הצוות שיתף פעולה בתהליך ההחלטה,The team cooperated in the decision process.,תמונה זו מראה קבוצת אנשים מוחאים כפיים,This image shows a group of people clapping,0.2809,0.311,0.229,0.8909,נראית כמו קבוצת אנשים אשר נראים שמחים ומסכימים יחד על אותו נושא בלחיצת יד משותפת.,You look like a group of people who look happy and agree together on the same subject with a common handshake.,0.439,0.3226,0.3446,0.8769,0.7149
2_2_48,2,2,48,2_2,הצוות שיתף פעולה בתהליך ההחלטה,The team cooperated in the decision process.,תמונה זו מראה קבוצת אנשים מוחאים כפיים,This image shows a group of people clapping,0.2809,0.311,0.229,0.8909,"נראה שהעובדים מרוצים לאחר הגעה לפתרון, שילוב הידיים קורה בדרכ בסיום תהליך","Employees seem to be satisfied after reaching a solution, combining the hands happens usually at the end of a process",0.5608,0.4157,0.4781,0.8837,0.409
2_2_49,2,2,49,2_2,הצוות שיתף פעולה בתהליך ההחלטה,The team cooperated in the decision process.,תמונה זו מראה קבוצת אנשים מוחאים כפיים,This image shows a group of people clapping,0.2809,0.311,0.229,0.8909,נראה שהצוות הגיע להחלטה משותפת ושמח לכבוד זה,The team seems to have come to a joint and happy decision in honor of this.,0.7212,0.5307,0.6604,0.899,0.4319
2_2_50,2,2,50,2_2,הצוות שיתף פעולה בתהליך ההחלטה,The team cooperated in the decision process.,תמונה זו מראה קבוצת אנשים מוחאים כפיים,This image shows a group of people clapping,0.2809,0.311,0.229,0.8909,נראה שהכל הסכים על מה שמודבר ויתחילו לעבוד,Everything seems to have agreed on what's being talked about and will start working.,0.6084,0.3806,0.4482,0.8868,0.3794
2_2_52,2,2,52,2_2,הצוות שיתף פעולה בתהליך ההחלטה,The team cooperated in the decision process.,תמונה זו מראה קבוצת אנשים מוחאים כפיים,This image shows a group of people clapping,0.2809,0.311,0.229,0.8909,נראה שהאנשים ישבו בדיון במשך זמן מה ואז בחרו מה הם הולכים לעשות ועושים מן כיף משותף כהצלחה משותפת בהמשך עם ההחלטה שלהם,The people seemed to sit in the debate for a while and then choose what they were going to do and do from having fun together as a shared success further along with their decision,0.5813,0.4475,0.4397,0.8702,0.3492
2_2_53,2,2,53,2_2,הצוות שיתף פעולה בתהליך ההחלטה,The team cooperated in the decision process.,תמונה זו מראה קבוצת אנשים מוחאים כפיים,This image shows a group of people clapping,0.2809,0.311,0.229,0.8909,בכל שאר התמונות מסתמן שקיימת התלבטות.,"In all the other pictures, there seems to be a dilemma.",0.2167,0.2239,0.1447,0.8926,0.4393
2_2_54,2,2,54,2_2,הצוות שיתף פעולה בתהליך ההחלטה,The team cooperated in the decision process.,תמונה זו מראה קבוצת אנשים מוחאים כפיים,This image shows a group of people clapping,0.2809,0.311,0.229,0.8909,מוחאים כפיים ומשלבים ידיים כיציאה לדרך,Clap your hands and join hands as you set off.,0.3426,0.3158,0.2628,0.88,0.6156
2_2_57,2,2,57,2_2,הצוות שיתף פעולה בתהליך ההחלטה,The team cooperated in the decision process.,תמונה זו מראה קבוצת אנשים מוחאים כפיים,This image shows a group of people clapping,0.2809,0.311,0.229,0.8909,סימן היידים מעיד שסיימו השאר נראים שעדין חושבים,The hand sign indicates that the rest of them seem to still be thinking,0.3204,0.1769,0.3322,0.8884,0.4608
2_2_58,2,2,58,2_2,הצוות שיתף פעולה בתהליך ההחלטה,The team cooperated in the decision process.,תמונה זו מראה קבוצת אנשים מוחאים כפיים,This image shows a group of people clapping,0.2809,0.311,0.229,0.8909,כי נוכל לראות בתמונה הזו שכל הצוות מסכים ושמח והתנועה עם הידיים שהצוות עושה בתמונה מעידה על הסכם מסוים.,Because we can see in this picture that the whole team agrees and rejoices and the movement with the hands that the team makes in the picture indicates a certain agreement.,0.6324,0.4078,0.5842,0.8746,0.6398
