stem,question_num,answer_num,participant_num,image_path,question_he,question_en,full_prompt,vlm_raw_answer_en,used_fallback,fallback_prompt,vlm_answer_en,vlm_answer_he,subject_answer_he,similarity,similarity_percent,comparison_method,subject_answer_en,similarity_labse_he,similarity_labse_he_percent,similarity_en,similarity_en_percent,bertscore_precision,bertscore_recall,bertscore_f1,vlm_model,embed_model,he_en_model,en_he_model,device,timestamp
10_1_54,10,1,54,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert analyzing an image.
Concept: ""Change is made""
Complete this sentence by filling in what you observe and why it connects to the concept:
""This image shows [what you see], which illustrates \""Change is made\"" because [explain the visual link].""
Answer: This image shows",This image shows the faces of different people,False,,This image shows the faces of different people,תמונה זו מראה את פניהם של אנשים שונים,רואים את השינוי במראה לפי הגיל,0.3678571283817291,36.79,multilingual semantic embedding cosine similarity,You can see the change in appearance by age.,0.41514670848846436,41.51,0.43109673261642456,43.11,0.9003,0.91,0.9051,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:25:52
10_1_58,10,1,58,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert analyzing an image.
Concept: ""Change is made""
Complete this sentence by filling in what you observe and why it connects to the concept:
""This image shows [what you see], which illustrates \""Change is made\"" because [explain the visual link].""
Answer: This image shows",This image shows the faces of different people,False,,This image shows the faces of different people,תמונה זו מראה את פניהם של אנשים שונים,התמונה מציגה את תהליך החיים של בן אדם מהילדות ועד הזקנה ומראה שהשינוי כבר התרחש בפועל ואי אפשר לחזור אחורה.,0.46028757095336914,46.03,multilingual semantic embedding cosine similarity,The picture shows a person's life process from childhood to old age and shows that change has already taken place and it is impossible to go back.,0.44658201932907104,44.66,0.40635985136032104,40.64,0.9106,0.8563,0.8826,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:25:58
10_1_59,10,1,59,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert analyzing an image.
Concept: ""Change is made""
Complete this sentence by filling in what you observe and why it connects to the concept:
""This image shows [what you see], which illustrates \""Change is made\"" because [explain the visual link].""
Answer: This image shows",This image shows the faces of different people,False,,This image shows the faces of different people,תמונה זו מראה את פניהם של אנשים שונים,בחרתי בתמונה של האדם שמתבגר משום שבה בעיני הכי מורגש זה שאי אפשר להחזיר את הגלגל לאחור. ברגע שהאדם כבר מזדקן אי אפשר ״לבטל״ את השינוי שהוא עבר.,0.51652991771698,51.65,multilingual semantic embedding cosine similarity,"I chose the image of the person who is growing up because in my eyes it is most noticeable that it is impossible to turn back the wheel. Once the person is already getting older it is impossible to ""cancel"" the change he has gone through.",0.20392531156539917,20.39,0.41067540645599365,41.07,0.8756,0.8292,0.8518,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:26:06
10_1_61,10,1,61,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert analyzing an image.
Concept: ""Change is made""
Complete this sentence by filling in what you observe and why it connects to the concept:
""This image shows [what you see], which illustrates \""Change is made\"" because [explain the visual link].""
Answer: This image shows",This image shows the faces of different people,False,,This image shows the faces of different people,תמונה זו מראה את פניהם של אנשים שונים,"זקנה הוא תהליך בלתי הפיך, לעמות צלחת שבורה שאפשר לדביק בחזרה או למחזר. פרח אפשר לשקם. ושיכרות הינה השפעה זמנית.",0.30703648924827576,30.7,multilingual semantic embedding cosine similarity,"Old age is an irreversible process, for a broken plate can be glued back or recycled. A flower can be rehabilitated. And drunkenness is a temporary effect.",0.07156121730804443,7.16,0.15981437265872955,15.98,0.8588,0.8348,0.8466,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:26:14
10_2_15,10,2,15,dataset/images/10_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert analyzing an image.
Concept: ""Change is made""
Complete this sentence by filling in what you observe and why it connects to the concept:
""This image shows [what you see], which illustrates \""Change is made\"" because [explain the visual link].""
Answer: This image shows",This image shows four different flowers,False,,This image shows four different flowers,תמונה זו מציגה ארבעה פרחים שונים,רואים שהפרח היה פורח ואלט לאט נבל כי לא השקו אותו,0.4599711298942566,46.0,multilingual semantic embedding cosine similarity,You can see that the flower was blooming and slowly a harp because it wasn't watered.,0.22832465171813965,22.83,0.4745863974094391,47.46,0.855,0.8374,0.8461,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:26:21
10_2_17,10,2,17,dataset/images/10_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert analyzing an image.
Concept: ""Change is made""
Complete this sentence by filling in what you observe and why it connects to the concept:
""This image shows [what you see], which illustrates \""Change is made\"" because [explain the visual link].""
Answer: This image shows",This image shows four different flowers,False,,This image shows four different flowers,תמונה זו מציגה ארבעה פרחים שונים,שהפרח פורח,0.6866238117218018,68.66,multilingual semantic embedding cosine similarity,That the flower blooms,0.4078138768672943,40.78,0.6835135221481323,68.35,0.8593,0.8845,0.8717,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:26:27
10_2_19,10,2,19,dataset/images/10_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert analyzing an image.
Concept: ""Change is made""
Complete this sentence by filling in what you observe and why it connects to the concept:
""This image shows [what you see], which illustrates \""Change is made\"" because [explain the visual link].""
Answer: This image shows",This image shows four different flowers,False,,This image shows four different flowers,תמונה זו מציגה ארבעה פרחים שונים,השינוי נעשה זה שניתן לראות התחלה וסוף ובין לבין רואים את התהליך ואת הקיצוניות.,0.19268301129341125,19.27,multilingual semantic embedding cosine similarity,Change is made that one can see beginning and end and in between one sees the process and the extreme.,0.18092279136180878,18.09,0.03593086823821068,3.59,0.842,0.8275,0.8347,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:26:33
10_2_20,10,2,20,dataset/images/10_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert analyzing an image.
Concept: ""Change is made""
Complete this sentence by filling in what you observe and why it connects to the concept:
""This image shows [what you see], which illustrates \""Change is made\"" because [explain the visual link].""
Answer: This image shows",This image shows four different flowers,False,,This image shows four different flowers,תמונה זו מציגה ארבעה פרחים שונים,רואים בבירור איך השינוי נעשה מתמונה לתמונה,0.23239099979400635,23.24,multilingual semantic embedding cosine similarity,You can clearly see how the change is made from picture to picture.,0.37087535858154297,37.09,0.15283308923244476,15.28,0.866,0.8531,0.8595,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:26:37
10_2_23,10,2,23,dataset/images/10_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert analyzing an image.
Concept: ""Change is made""
Complete this sentence by filling in what you observe and why it connects to the concept:
""This image shows [what you see], which illustrates \""Change is made\"" because [explain the visual link].""
Answer: This image shows",This image shows four different flowers,False,,This image shows four different flowers,תמונה זו מציגה ארבעה פרחים שונים,פרח שמתחיל כעצוב ונובל פורח וזה תהליך של בני אדם,0.66217440366745,66.22,multilingual semantic embedding cosine similarity,A flower that begins as a sad and a flowering novel and it's a human process,0.33752503991127014,33.75,0.5174077749252319,51.74,0.8456,0.8321,0.8388,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:26:42
10_2_25,10,2,25,dataset/images/10_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert analyzing an image.
Concept: ""Change is made""
Complete this sentence by filling in what you observe and why it connects to the concept:
""This image shows [what you see], which illustrates \""Change is made\"" because [explain the visual link].""
Answer: This image shows",This image shows four different flowers,False,,This image shows four different flowers,תמונה זו מציגה ארבעה פרחים שונים,אני רואה שינוי,0.19034022092819214,19.03,multilingual semantic embedding cosine similarity,I see a change.,0.3797002136707306,37.97,0.07133422791957855,7.13,0.8472,0.9034,0.8744,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:26:46
10_2_27,10,2,27,dataset/images/10_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert analyzing an image.
Concept: ""Change is made""
Complete this sentence by filling in what you observe and why it connects to the concept:
""This image shows [what you see], which illustrates \""Change is made\"" because [explain the visual link].""
Answer: This image shows",This image shows four different flowers,False,,This image shows four different flowers,תמונה זו מציגה ארבעה פרחים שונים,יש פרח נובל ואי אפשר לשנות מפרח נובל לצומח,0.5006518959999084,50.07,multilingual semantic embedding cosine similarity,There is a Nobel flower and you can't change from a Nobel flower to a vegetable.,0.39050886034965515,39.05,0.34027573466300964,34.03,0.8581,0.8476,0.8528,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:26:50
10_2_35,10,2,35,dataset/images/10_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert analyzing an image.
Concept: ""Change is made""
Complete this sentence by filling in what you observe and why it connects to the concept:
""This image shows [what you see], which illustrates \""Change is made\"" because [explain the visual link].""
Answer: This image shows",This image shows four different flowers,False,,This image shows four different flowers,תמונה זו מציגה ארבעה פרחים שונים,ממחיש את השינוי דרך פרח שצומח ואז נובל,0.5913020372390747,59.13,multilingual semantic embedding cosine similarity,Illustrates the change through a flower that grows and then Nobel,0.48723676800727844,48.72,0.5319988131523132,53.2,0.8701,0.8428,0.8563,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:26:54
10_2_41,10,2,41,dataset/images/10_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert analyzing an image.
Concept: ""Change is made""
Complete this sentence by filling in what you observe and why it connects to the concept:
""This image shows [what you see], which illustrates \""Change is made\"" because [explain the visual link].""
Answer: This image shows",This image shows four different flowers,False,,This image shows four different flowers,תמונה זו מציגה ארבעה פרחים שונים,"הצמח כמל, הגיע לסוף תהליך ייעודו ותפקידו",0.5660474300384521,56.6,multilingual semantic embedding cosine similarity,"The plant as a mel, has reached the end of its vocation process and function",0.0800560936331749,8.01,0.3643611967563629,36.44,0.8444,0.8154,0.8296,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:26:57
10_2_42,10,2,42,dataset/images/10_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert analyzing an image.
Concept: ""Change is made""
Complete this sentence by filling in what you observe and why it connects to the concept:
""This image shows [what you see], which illustrates \""Change is made\"" because [explain the visual link].""
Answer: This image shows",This image shows four different flowers,False,,This image shows four different flowers,תמונה זו מציגה ארבעה פרחים שונים,רואים את השינוי,0.14342160522937775,14.34,multilingual semantic embedding cosine similarity,You see the change.,0.25604552030563354,25.6,0.0663079172372818,6.63,0.8443,0.9013,0.8719,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:27:01
10_2_46,10,2,46,dataset/images/10_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert analyzing an image.
Concept: ""Change is made""
Complete this sentence by filling in what you observe and why it connects to the concept:
""This image shows [what you see], which illustrates \""Change is made\"" because [explain the visual link].""
Answer: This image shows",This image shows four different flowers,False,,This image shows four different flowers,תמונה זו מציגה ארבעה פרחים שונים,"בתמונה רואים שני שינויים, שינוי ראשון של הפרח עצמו שפרח וצמח אבל הסביבה נשארה זהה, ובתמונה השנייה הפרח נשאר נבול אבל הסביבה השתנתה. בשניהם השינוי נעשה.",0.49961212277412415,49.96,multilingual semantic embedding cosine similarity,"In the picture you see two changes, a first change of the flower itself that flower and plant but the environment remains the same, and in the second picture the flower remains wilted but the environment has changed. In both the change is made.",0.44020742177963257,44.02,0.4651053547859192,46.51,0.8701,0.8294,0.8492,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:27:05
1_1_13,1,1,13,dataset/images/1_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" העבודה הושלמה בהצלחה""","Explain why you chose this image as reflecting the sentence ""Work completed successfully""","You are a systems thinking expert analyzing an image.
Concept: ""Work completed successfully""
Complete this sentence by filling in what you observe and why it connects to the concept:
""This image shows [what you see], which illustrates \""Work completed successfully\"" because [explain the visual link].""
Answer: This image shows",This image shows two military men preparing a missile,False,,This image shows two military men preparing a missile,תמונה זו מראה שני אנשי צבא מכינים טיל,כי הם עבדים בצוות,0.36201560497283936,36.2,multilingual semantic embedding cosine similarity,They are slaves in the crew.,0.26173028349876404,26.17,0.1716236174106598,17.16,0.85,0.8959,0.8724,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:27:10
1_1_21,1,1,21,dataset/images/1_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" העבודה הושלמה בהצלחה""","Explain why you chose this image as reflecting the sentence ""Work completed successfully""","You are a systems thinking expert analyzing an image.
Concept: ""Work completed successfully""
Complete this sentence by filling in what you observe and why it connects to the concept:
""This image shows [what you see], which illustrates \""Work completed successfully\"" because [explain the visual link].""
Answer: This image shows",This image shows two military men preparing a missile,False,,This image shows two military men preparing a missile,תמונה זו מראה שני אנשי צבא מכינים טיל,יש פה עובדה צוות וזה נראה שהם עוד שניה מסיים,0.3720606863498688,37.21,multilingual semantic embedding cosine similarity,There's a fact here staff and it looks like they're about to finish.,0.36319443583488464,36.32,0.28572943806648254,28.57,0.8455,0.8371,0.8413,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:27:15
1_2_20,1,2,20,dataset/images/1_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" העבודה הושלמה בהצלחה""","Explain why you chose this image as reflecting the sentence ""Work completed successfully""","You are a systems thinking expert analyzing an image.
Concept: ""Work completed successfully""
Complete this sentence by filling in what you observe and why it connects to the concept:
""This image shows [what you see], which illustrates \""Work completed successfully\"" because [explain the visual link].""
Answer: This image shows",This image shows a bulldozer and a dump truck,False,,This image shows a bulldozer and a dump truck,התמונה הזו מראה בולדוזר ומשאית זבל.,העבודה זה לשים משהו בתוך המשאית והיא הושלמה בהצלחה,0.6111588478088379,61.12,multilingual semantic embedding cosine similarity,The job is to put something inside the truck and it's successfully completed,0.39029574394226074,39.03,0.5304903984069824,53.05,0.8835,0.8621,0.8727,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:27:19
