stem,question_num,answer_num,participant_num,image_path,question_he,question_en,full_prompt,vlm_raw_answer_en,used_fallback,fallback_prompt,vlm_answer_en,vlm_answer_he,subject_answer_he,similarity,similarity_percent,comparison_method,subject_answer_en,similarity_labse_he,similarity_labse_he_percent,similarity_en,similarity_en_percent,bertscore_precision,bertscore_recall,bertscore_f1,vlm_model,embed_model,he_en_model,en_he_model,device,timestamp
10_1_54,10,1,54,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are an expert in systems thinking. Based on the image, answer the user's question in English. Focus on relationships, interactions, or decision dynamics when relevant.
Question (Hebrew): הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""
Answer:",,True,"Describe what concrete objects, actions, or relationships are visible in this image, and what role they might play in a systems thinking context.",the image shows a group of people with different faces,התמונה מראה קבוצה של אנשים עם פנים שונות,רואים את השינוי במראה לפי הגיל,0.30022212862968445,30.02,multilingual semantic embedding cosine similarity,You can see the change in appearance by age.,0.3753276765346527,37.53,0.32194849848747253,32.19,0.8872,0.9011,0.8941,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:37:12
10_1_58,10,1,58,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are an expert in systems thinking. Based on the image, answer the user's question in English. Focus on relationships, interactions, or decision dynamics when relevant.
Question (Hebrew): הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""
Answer:",,True,"Describe what concrete objects, actions, or relationships are visible in this image, and what role they might play in a systems thinking context.",the image shows a group of people with different faces,התמונה מראה קבוצה של אנשים עם פנים שונות,התמונה מציגה את תהליך החיים של בן אדם מהילדות ועד הזקנה ומראה שהשינוי כבר התרחש בפועל ואי אפשר לחזור אחורה.,0.3328981399536133,33.29,multilingual semantic embedding cosine similarity,The picture shows a person's life process from childhood to old age and shows that change has already taken place and it is impossible to go back.,0.42374926805496216,42.37,0.298721045255661,29.87,0.8983,0.8578,0.8776,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:37:38
10_1_59,10,1,59,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are an expert in systems thinking. Based on the image, answer the user's question in English. Focus on relationships, interactions, or decision dynamics when relevant.
Question (Hebrew): הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""
Answer:",,True,"Describe what concrete objects, actions, or relationships are visible in this image, and what role they might play in a systems thinking context.",the image shows a group of people with different faces,התמונה מראה קבוצה של אנשים עם פנים שונות,בחרתי בתמונה של האדם שמתבגר משום שבה בעיני הכי מורגש זה שאי אפשר להחזיר את הגלגל לאחור. ברגע שהאדם כבר מזדקן אי אפשר ״לבטל״ את השינוי שהוא עבר.,0.30155760049819946,30.16,multilingual semantic embedding cosine similarity,"I chose the image of the person who is growing up because in my eyes it is most noticeable that it is impossible to turn back the wheel. Once the person is already getting older it is impossible to ""cancel"" the change he has gone through.",0.1949954479932785,19.5,0.3134303689002991,31.34,0.8713,0.83,0.8501,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:38:06
10_1_61,10,1,61,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are an expert in systems thinking. Based on the image, answer the user's question in English. Focus on relationships, interactions, or decision dynamics when relevant.
Question (Hebrew): הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""
Answer:",,True,"Describe what concrete objects, actions, or relationships are visible in this image, and what role they might play in a systems thinking context.",the image shows a group of people with different faces,התמונה מראה קבוצה של אנשים עם פנים שונות,"זקנה הוא תהליך בלתי הפיך, לעמות צלחת שבורה שאפשר לדביק בחזרה או למחזר. פרח אפשר לשקם. ושיכרות הינה השפעה זמנית.",0.1910611093044281,19.11,multilingual semantic embedding cosine similarity,"Old age is an irreversible process, for a broken plate can be glued back or recycled. A flower can be rehabilitated. And drunkenness is a temporary effect.",0.11653336882591248,11.65,0.13436806201934814,13.44,0.8516,0.8338,0.8426,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:38:34
10_2_15,10,2,15,dataset/images/10_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are an expert in systems thinking. Based on the image, answer the user's question in English. Focus on relationships, interactions, or decision dynamics when relevant.
Question (Hebrew): הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""
Answer:",i'm not sure if this is the right place to ask this question,False,,i'm not sure if this is the right place to ask this question,אני לא בטוח אם זה המקום הנכון לשאול את השאלה הזאת,רואים שהפרח היה פורח ואלט לאט נבל כי לא השקו אותו,0.4146384000778198,41.46,multilingual semantic embedding cosine similarity,You can see that the flower was blooming and slowly a harp because it wasn't watered.,0.16628265380859375,16.63,0.14257566630840302,14.26,0.8353,0.8316,0.8335,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:39:01
10_2_17,10,2,17,dataset/images/10_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are an expert in systems thinking. Based on the image, answer the user's question in English. Focus on relationships, interactions, or decision dynamics when relevant.
Question (Hebrew): הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""
Answer:",i'm not sure if this is the right place to ask this question,False,,i'm not sure if this is the right place to ask this question,אני לא בטוח אם זה המקום הנכון לשאול את השאלה הזאת,שהפרח פורח,0.2566830515861511,25.67,multilingual semantic embedding cosine similarity,That the flower blooms,0.17448994517326355,17.45,0.1685267984867096,16.85,0.8321,0.8402,0.8362,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:39:06
10_2_19,10,2,19,dataset/images/10_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are an expert in systems thinking. Based on the image, answer the user's question in English. Focus on relationships, interactions, or decision dynamics when relevant.
Question (Hebrew): הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""
Answer:",i'm not sure if this is the right place to ask this question,False,,i'm not sure if this is the right place to ask this question,אני לא בטוח אם זה המקום הנכון לשאול את השאלה הזאת,השינוי נעשה זה שניתן לראות התחלה וסוף ובין לבין רואים את התהליך ואת הקיצוניות.,0.38990262150764465,38.99,multilingual semantic embedding cosine similarity,Change is made that one can see beginning and end and in between one sees the process and the extreme.,0.009961908683180809,1.0,0.31006547808647156,31.01,0.8367,0.8413,0.839,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:39:11
10_2_20,10,2,20,dataset/images/10_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are an expert in systems thinking. Based on the image, answer the user's question in English. Focus on relationships, interactions, or decision dynamics when relevant.
Question (Hebrew): הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""
Answer:",i'm not sure if this is the right place to ask this question,False,,i'm not sure if this is the right place to ask this question,אני לא בטוח אם זה המקום הנכון לשאול את השאלה הזאת,רואים בבירור איך השינוי נעשה מתמונה לתמונה,0.3347978889942169,33.48,multilingual semantic embedding cosine similarity,You can clearly see how the change is made from picture to picture.,0.23876507580280304,23.88,0.0951831191778183,9.52,0.8592,0.8599,0.8595,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:39:17
10_2_23,10,2,23,dataset/images/10_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are an expert in systems thinking. Based on the image, answer the user's question in English. Focus on relationships, interactions, or decision dynamics when relevant.
Question (Hebrew): הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""
Answer:",i'm not sure if this is the right place to ask this question,False,,i'm not sure if this is the right place to ask this question,אני לא בטוח אם זה המקום הנכון לשאול את השאלה הזאת,פרח שמתחיל כעצוב ונובל פורח וזה תהליך של בני אדם,0.38073980808258057,38.07,multilingual semantic embedding cosine similarity,A flower that begins as a sad and a flowering novel and it's a human process,0.1867334544658661,18.67,0.2468591034412384,24.69,0.8235,0.8359,0.8297,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:39:22
10_2_25,10,2,25,dataset/images/10_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are an expert in systems thinking. Based on the image, answer the user's question in English. Focus on relationships, interactions, or decision dynamics when relevant.
Question (Hebrew): הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""
Answer:",i'm not sure if this is the right place to ask this question,False,,i'm not sure if this is the right place to ask this question,אני לא בטוח אם זה המקום הנכון לשאול את השאלה הזאת,אני רואה שינוי,0.3923157751560211,39.23,multilingual semantic embedding cosine similarity,I see a change.,0.228034108877182,22.8,0.2512943744659424,25.13,0.8449,0.9281,0.8845,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:39:27
10_2_27,10,2,27,dataset/images/10_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are an expert in systems thinking. Based on the image, answer the user's question in English. Focus on relationships, interactions, or decision dynamics when relevant.
Question (Hebrew): הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""
Answer:",i'm not sure if this is the right place to ask this question,False,,i'm not sure if this is the right place to ask this question,אני לא בטוח אם זה המקום הנכון לשאול את השאלה הזאת,יש פרח נובל ואי אפשר לשנות מפרח נובל לצומח,0.393779993057251,39.38,multilingual semantic embedding cosine similarity,There is a Nobel flower and you can't change from a Nobel flower to a vegetable.,0.25997394323349,26.0,0.20732471346855164,20.73,0.841,0.8516,0.8462,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:39:33
10_2_35,10,2,35,dataset/images/10_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are an expert in systems thinking. Based on the image, answer the user's question in English. Focus on relationships, interactions, or decision dynamics when relevant.
Question (Hebrew): הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""
Answer:",i'm not sure if this is the right place to ask this question,False,,i'm not sure if this is the right place to ask this question,אני לא בטוח אם זה המקום הנכון לשאול את השאלה הזאת,ממחיש את השינוי דרך פרח שצומח ואז נובל,0.2835664749145508,28.36,multilingual semantic embedding cosine similarity,Illustrates the change through a flower that grows and then Nobel,0.152483731508255,15.25,0.16865569353103638,16.87,0.8153,0.8336,0.8244,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:39:38
10_2_41,10,2,41,dataset/images/10_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are an expert in systems thinking. Based on the image, answer the user's question in English. Focus on relationships, interactions, or decision dynamics when relevant.
Question (Hebrew): הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""
Answer:",i'm not sure if this is the right place to ask this question,False,,i'm not sure if this is the right place to ask this question,אני לא בטוח אם זה המקום הנכון לשאול את השאלה הזאת,"הצמח כמל, הגיע לסוף תהליך ייעודו ותפקידו",0.41350477933883667,41.35,multilingual semantic embedding cosine similarity,"The plant as a mel, has reached the end of its vocation process and function",0.10954508185386658,10.95,0.20690354704856873,20.69,0.8427,0.832,0.8373,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:39:44
10_2_42,10,2,42,dataset/images/10_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are an expert in systems thinking. Based on the image, answer the user's question in English. Focus on relationships, interactions, or decision dynamics when relevant.
Question (Hebrew): הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""
Answer:",i'm not sure if this is the right place to ask this question,False,,i'm not sure if this is the right place to ask this question,אני לא בטוח אם זה המקום הנכון לשאול את השאלה הזאת,רואים את השינוי,0.30235669016838074,30.24,multilingual semantic embedding cosine similarity,You see the change.,0.09402291476726532,9.4,0.2214289903640747,22.14,0.8386,0.923,0.8787,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:39:49
10_2_46,10,2,46,dataset/images/10_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are an expert in systems thinking. Based on the image, answer the user's question in English. Focus on relationships, interactions, or decision dynamics when relevant.
Question (Hebrew): הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""
Answer:",i'm not sure if this is the right place to ask this question,False,,i'm not sure if this is the right place to ask this question,אני לא בטוח אם זה המקום הנכון לשאול את השאלה הזאת,"בתמונה רואים שני שינויים, שינוי ראשון של הפרח עצמו שפרח וצמח אבל הסביבה נשארה זהה, ובתמונה השנייה הפרח נשאר נבול אבל הסביבה השתנתה. בשניהם השינוי נעשה.",0.24295581877231598,24.3,multilingual semantic embedding cosine similarity,"In the picture you see two changes, a first change of the flower itself that flower and plant but the environment remains the same, and in the second picture the flower remains wilted but the environment has changed. In both the change is made.",0.14487862586975098,14.49,0.1840287744998932,18.4,0.8315,0.8268,0.8291,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:39:54
