stem,question_num,answer_num,participant_num,image_path,question_he,question_en,dimension_id,dimension_confidence,full_prompt,vlm_raw_answer_en,used_fallback,fallback_prompt,vlm_answer_en,vlm_answer_he,subject_answer_he,similarity,similarity_percent,comparison_method,subject_answer_en,similarity_labse_he,similarity_labse_he_percent,similarity_en,similarity_en_percent,bertscore_precision,bertscore_recall,bertscore_f1,vlm_model,embed_model,he_en_model,en_he_model,device,timestamp
10_1_54,10,1,54,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""",transformation,1.0,"In systems thinking, change is a gradual process: stages accumulate until a new state emerges.
In one sentence: What transformation or contrast between states is visible in this image, and what does it suggest about how change happens over time?",the image shows a progression of stages from young to old,False,,the image shows a progression of stages from young to old,התמונה מראה התקדמות של שלבים מגיל צעיר ועד זקן,רואים את השינוי במראה לפי הגיל,0.5490550994873047,54.91,multilingual semantic embedding cosine similarity,You can see the change in appearance by age.,0.4326920509338379,43.27,0.5701993107795715,57.02,0.8975,0.9216,0.9094,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:01:48
10_1_58,10,1,58,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""",transformation,1.0,"In systems thinking, change is a gradual process: stages accumulate until a new state emerges.
In one sentence: What transformation or contrast between states is visible in this image, and what does it suggest about how change happens over time?",the image shows a progression of stages from young to old,False,,the image shows a progression of stages from young to old,התמונה מראה התקדמות של שלבים מגיל צעיר ועד זקן,התמונה מציגה את תהליך החיים של בן אדם מהילדות ועד הזקנה ומראה שהשינוי כבר התרחש בפועל ואי אפשר לחזור אחורה.,0.7289248108863831,72.89,multilingual semantic embedding cosine similarity,The picture shows a person's life process from childhood to old age and shows that change has already taken place and it is impossible to go back.,0.6276272535324097,62.76,0.6591686010360718,65.92,0.9245,0.876,0.8996,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:01:54
10_1_59,10,1,59,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""",transformation,1.0,"In systems thinking, change is a gradual process: stages accumulate until a new state emerges.
In one sentence: What transformation or contrast between states is visible in this image, and what does it suggest about how change happens over time?",the image shows a progression of stages from young to old,False,,the image shows a progression of stages from young to old,התמונה מראה התקדמות של שלבים מגיל צעיר ועד זקן,בחרתי בתמונה של האדם שמתבגר משום שבה בעיני הכי מורגש זה שאי אפשר להחזיר את הגלגל לאחור. ברגע שהאדם כבר מזדקן אי אפשר ״לבטל״ את השינוי שהוא עבר.,0.5601615905761719,56.02,multilingual semantic embedding cosine similarity,"I chose the image of the person who is growing up because in my eyes it is most noticeable that it is impossible to turn back the wheel. Once the person is already getting older it is impossible to ""cancel"" the change he has gone through.",0.2845761477947235,28.46,0.5326219201087952,53.26,0.8632,0.8299,0.8462,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:02:01
10_1_61,10,1,61,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""",transformation,1.0,"In systems thinking, change is a gradual process: stages accumulate until a new state emerges.
In one sentence: What transformation or contrast between states is visible in this image, and what does it suggest about how change happens over time?",the image shows a progression of stages from young to old,False,,the image shows a progression of stages from young to old,התמונה מראה התקדמות של שלבים מגיל צעיר ועד זקן,"זקנה הוא תהליך בלתי הפיך, לעמות צלחת שבורה שאפשר לדביק בחזרה או למחזר. פרח אפשר לשקם. ושיכרות הינה השפעה זמנית.",0.37193986773490906,37.19,multilingual semantic embedding cosine similarity,"Old age is an irreversible process, for a broken plate can be glued back or recycled. A flower can be rehabilitated. And drunkenness is a temporary effect.",0.1252293884754181,12.52,0.39772048592567444,39.77,0.8625,0.8405,0.8514,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:02:09
10_2_15,10,2,15,dataset/images/10_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""",transformation,1.0,"In systems thinking, change is a gradual process: stages accumulate until a new state emerges.
In one sentence: What transformation or contrast between states is visible in this image, and what does it suggest about how change happens over time?",the image shows a flower in different stages of growth,False,,the image shows a flower in different stages of growth,התמונה מראה פרח בשלבים שונים של צמיחה,רואים שהפרח היה פורח ואלט לאט נבל כי לא השקו אותו,0.5886965990066528,58.87,multilingual semantic embedding cosine similarity,You can see that the flower was blooming and slowly a harp because it wasn't watered.,0.419874370098114,41.99,0.593757152557373,59.38,0.8615,0.8545,0.858,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:02:16
10_2_17,10,2,17,dataset/images/10_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""",transformation,1.0,"In systems thinking, change is a gradual process: stages accumulate until a new state emerges.
In one sentence: What transformation or contrast between states is visible in this image, and what does it suggest about how change happens over time?",the image shows a flower in different stages of growth,False,,the image shows a flower in different stages of growth,התמונה מראה פרח בשלבים שונים של צמיחה,שהפרח פורח,0.8814504742622375,88.15,multilingual semantic embedding cosine similarity,That the flower blooms,0.5307900905609131,53.08,0.7739424705505371,77.39,0.8615,0.9023,0.8814,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:02:22
10_2_19,10,2,19,dataset/images/10_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""",transformation,1.0,"In systems thinking, change is a gradual process: stages accumulate until a new state emerges.
In one sentence: What transformation or contrast between states is visible in this image, and what does it suggest about how change happens over time?",the image shows a flower in different stages of growth,False,,the image shows a flower in different stages of growth,התמונה מראה פרח בשלבים שונים של צמיחה,השינוי נעשה זה שניתן לראות התחלה וסוף ובין לבין רואים את התהליך ואת הקיצוניות.,0.19673825800418854,19.67,multilingual semantic embedding cosine similarity,Change is made that one can see beginning and end and in between one sees the process and the extreme.,0.25598445534706116,25.6,0.16162388026714325,16.16,0.8446,0.8463,0.8455,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:02:28
10_2_20,10,2,20,dataset/images/10_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""",transformation,1.0,"In systems thinking, change is a gradual process: stages accumulate until a new state emerges.
In one sentence: What transformation or contrast between states is visible in this image, and what does it suggest about how change happens over time?",the image shows a flower in different stages of growth,False,,the image shows a flower in different stages of growth,התמונה מראה פרח בשלבים שונים של צמיחה,רואים בבירור איך השינוי נעשה מתמונה לתמונה,0.23692968487739563,23.69,multilingual semantic embedding cosine similarity,You can clearly see how the change is made from picture to picture.,0.4432185888290405,44.32,0.20842769742012024,20.84,0.8611,0.8702,0.8656,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:02:35
10_2_23,10,2,23,dataset/images/10_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""",transformation,1.0,"In systems thinking, change is a gradual process: stages accumulate until a new state emerges.
In one sentence: What transformation or contrast between states is visible in this image, and what does it suggest about how change happens over time?",the image shows a flower in different stages of growth,False,,the image shows a flower in different stages of growth,התמונה מראה פרח בשלבים שונים של צמיחה,פרח שמתחיל כעצוב ונובל פורח וזה תהליך של בני אדם,0.6992155313491821,69.92,multilingual semantic embedding cosine similarity,A flower that begins as a sad and a flowering novel and it's a human process,0.4653349220752716,46.53,0.5993691682815552,59.94,0.847,0.8481,0.8475,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:02:41
10_2_25,10,2,25,dataset/images/10_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""",transformation,1.0,"In systems thinking, change is a gradual process: stages accumulate until a new state emerges.
In one sentence: What transformation or contrast between states is visible in this image, and what does it suggest about how change happens over time?",the image shows a flower in different stages of growth,False,,the image shows a flower in different stages of growth,התמונה מראה פרח בשלבים שונים של צמיחה,אני רואה שינוי,0.21962301433086395,21.96,multilingual semantic embedding cosine similarity,I see a change.,0.4245483875274658,42.45,0.12313487380743027,12.31,0.8421,0.9166,0.8778,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:02:47
10_2_27,10,2,27,dataset/images/10_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""",transformation,1.0,"In systems thinking, change is a gradual process: stages accumulate until a new state emerges.
In one sentence: What transformation or contrast between states is visible in this image, and what does it suggest about how change happens over time?",the image shows a flower in different stages of growth,False,,the image shows a flower in different stages of growth,התמונה מראה פרח בשלבים שונים של צמיחה,יש פרח נובל ואי אפשר לשנות מפרח נובל לצומח,0.6230587959289551,62.31,multilingual semantic embedding cosine similarity,There is a Nobel flower and you can't change from a Nobel flower to a vegetable.,0.4485269784927368,44.85,0.3813955783843994,38.14,0.8519,0.8646,0.8582,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:02:52
10_2_35,10,2,35,dataset/images/10_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""",transformation,1.0,"In systems thinking, change is a gradual process: stages accumulate until a new state emerges.
In one sentence: What transformation or contrast between states is visible in this image, and what does it suggest about how change happens over time?",the image shows a flower in different stages of growth,False,,the image shows a flower in different stages of growth,התמונה מראה פרח בשלבים שונים של צמיחה,ממחיש את השינוי דרך פרח שצומח ואז נובל,0.7990684509277344,79.91,multilingual semantic embedding cosine similarity,Illustrates the change through a flower that grows and then Nobel,0.6791333556175232,67.91,0.6626025438308716,66.26,0.8767,0.8686,0.8727,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:02:59
10_2_41,10,2,41,dataset/images/10_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""",transformation,1.0,"In systems thinking, change is a gradual process: stages accumulate until a new state emerges.
In one sentence: What transformation or contrast between states is visible in this image, and what does it suggest about how change happens over time?",the image shows a flower in different stages of growth,False,,the image shows a flower in different stages of growth,התמונה מראה פרח בשלבים שונים של צמיחה,"הצמח כמל, הגיע לסוף תהליך ייעודו ותפקידו",0.6703452467918396,67.03,multilingual semantic embedding cosine similarity,"The plant as a mel, has reached the end of its vocation process and function",0.19803884625434875,19.8,0.4916626811027527,49.17,0.8542,0.8363,0.8452,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:03:05
10_2_42,10,2,42,dataset/images/10_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""",transformation,1.0,"In systems thinking, change is a gradual process: stages accumulate until a new state emerges.
In one sentence: What transformation or contrast between states is visible in this image, and what does it suggest about how change happens over time?",the image shows a flower in different stages of growth,False,,the image shows a flower in different stages of growth,התמונה מראה פרח בשלבים שונים של צמיחה,רואים את השינוי,0.12083834409713745,12.08,multilingual semantic embedding cosine similarity,You see the change.,0.29664546251296997,29.66,0.12330132722854614,12.33,0.8381,0.9129,0.8739,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:03:11
10_2_46,10,2,46,dataset/images/10_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""",transformation,1.0,"In systems thinking, change is a gradual process: stages accumulate until a new state emerges.
In one sentence: What transformation or contrast between states is visible in this image, and what does it suggest about how change happens over time?",the image shows a flower in different stages of growth,False,,the image shows a flower in different stages of growth,התמונה מראה פרח בשלבים שונים של צמיחה,"בתמונה רואים שני שינויים, שינוי ראשון של הפרח עצמו שפרח וצמח אבל הסביבה נשארה זהה, ובתמונה השנייה הפרח נשאר נבול אבל הסביבה השתנתה. בשניהם השינוי נעשה.",0.662277102470398,66.23,multilingual semantic embedding cosine similarity,"In the picture you see two changes, a first change of the flower itself that flower and plant but the environment remains the same, and in the second picture the flower remains wilted but the environment has changed. In both the change is made.",0.527145266532898,52.71,0.5845260620117188,58.45,0.8757,0.8462,0.8607,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:03:16
1_1_13,1,1,13,dataset/images/1_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" העבודה הושלמה בהצלחה""","Explain why you chose this image as reflecting the sentence ""Work completed successfully""",collective_completion,1.0,"This image was chosen to illustrate the idea that a task was completed successfully through cooperation.
Answer in one sentence: Who or what are the actors in this image, how do they divide their roles, and what does their joint effort achieve?",two military personnel preparing to load a missile into a fighter jet,False,,two military personnel preparing to load a missile into a fighter jet,שני אנשי צבא מתכוננים לטעון טיל לתוך מטוס קרב.,כי הם עבדים בצוות,0.28159523010253906,28.16,multilingual semantic embedding cosine similarity,They are slaves in the crew.,0.15650486946105957,15.65,0.19592179358005524,19.59,0.8487,0.8961,0.8718,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:03:24
1_1_21,1,1,21,dataset/images/1_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" העבודה הושלמה בהצלחה""","Explain why you chose this image as reflecting the sentence ""Work completed successfully""",collective_completion,1.0,"This image was chosen to illustrate the idea that a task was completed successfully through cooperation.
Answer in one sentence: Who or what are the actors in this image, how do they divide their roles, and what does their joint effort achieve?",two military personnel preparing to load a missile into a fighter jet,False,,two military personnel preparing to load a missile into a fighter jet,שני אנשי צבא מתכוננים לטעון טיל לתוך מטוס קרב.,יש פה עובדה צוות וזה נראה שהם עוד שניה מסיים,0.3277433514595032,32.77,multilingual semantic embedding cosine similarity,There's a fact here staff and it looks like they're about to finish.,0.2734905481338501,27.35,0.2901000380516052,29.01,0.843,0.8378,0.8404,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:03:30
1_2_20,1,2,20,dataset/images/1_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" העבודה הושלמה בהצלחה""","Explain why you chose this image as reflecting the sentence ""Work completed successfully""",collective_completion,1.0,"This image was chosen to illustrate the idea that a task was completed successfully through cooperation.
Answer in one sentence: Who or what are the actors in this image, how do they divide their roles, and what does their joint effort achieve?",two trucks and a bulldozer,False,,two trucks and a bulldozer,שתי משאיות ודחפור.,העבודה זה לשים משהו בתוך המשאית והיא הושלמה בהצלחה,0.7104709148406982,71.05,multilingual semantic embedding cosine similarity,The job is to put something inside the truck and it's successfully completed,0.331369012594223,33.14,0.5716142654418945,57.16,0.9068,0.8575,0.8815,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:03:37
